file_name,term_index,term,class,generalizations,wiki,dbpedia,rdf_type,generalizations2,generalizations3,generalizations4
actor_3484.xml,31,jason_bourne,NONE,['bourne'],http://en.wikipedia.org/wiki/Jason_Bourne,http://dbpedia.org/resource/Jason_Bourne,<wikicat_Fictional_criminals>,"['<wikicat_Fictional_criminals>', '<wikicat_Fictional_government_agents>', '<wikicat_Fictional_soldiers>', '<wikicat_Fictional_professors>', '<wikicat_Fictional_secret_agents_and_spies>', '<wikicat_Fictional_American_people>', '<wikicat_Fictional_schoolteachers>', '<wikicat_Fictional_assassins>', '<wikicat_Fictional_linguists>', '<wikicat_Fictional_martial_artists>', '<wikicat_Fictional_double_agents>', '<wikicat_Fictional_Vietnam_War_veterans>', '<wikicat_Fictional_Jeet_Kune_Do_practitioners>', '<wikicat_Fictional_super_soldiers>', '<wikicat_Fictional_American_people>', '<wikicat_Fictional_Jeet_Kune_Do_practitioners>', '<wikicat_Fictional_Vietnam_War_veterans>', '<wikicat_Fictional_assassins>', '<wikicat_Fictional_criminals>', '<wikicat_Fictional_double_agents>']","['Action film characters', 'Book series introduced in 1980', 'Characters in American novels of the 20th century', 'Fictional Central Intelligence Agency personnel', 'Fictional Jeet Kune Do practitioners', 'Fictional United States Army Delta Force personnel', 'Fictional United States Marine Corps Force Reconnaissance personnel', 'Fictional Vietnam War veterans', 'Fictional assassins', 'Fictional characters from Missouri', 'Fictional characters with amnesia', 'Fictional double agents', 'Fictional eskrimadors', 'Fictional linguists', 'Fictional professors', 'Fictional schoolteachers', 'Fictional super soldiers', 'Fictional victims of brainwashing and indoctrination', 'Jason Bourne', 'Literary characters introduced in 1980', 'Spy film characters', 'Thriller film characters', 'Universal Studios characters', 'Use dmy dates from November 2016', 'Wikipedia articles with LCCN identifiers', 'Wikipedia articles with NLP identifiers', 'Wikipedia articles with SUDOC identifiers', 'Wikipedia articles with VIAF identifiers', 'Wikipedia articles with WorldCat-VIAF identifiers']",NONE
actor_3484.xml,32,warden_dwight_mcclusky,NONE,"['dwight_mcclusky', 'mcclusky']",NONE,NONE,NONE,[],[],NONE
actor_3484.xml,33,natural_born_killers,NONE,"['born_killers', 'killers']",http://en.wikipedia.org/wiki/Natural_Born_Killers,http://dbpedia.org/resource/Natural_Born_Killers,<wikicat_American_satirical_films>,"['<wikicat_American_satirical_films>', '<wikicat_Serial_killer_films>', '<wikicat_American_independent_films>', '<wikicat_1990s_crime_films>', '<wikicat_1990s_comedy_films>', '<wikicat_Films_directed_by_Oliver_Stone>', '<wikicat_1990s_action_films>', '<wikicat_1990s_drama_films>', '<wikicat_American_action_comedy_films>', '<wikicat_English-language_films>', '<wikicat_Warner_Bros._films>', '<wordnet_medium_106254669>', '<wikicat_1994_films>', '<wordnet_movie_106613686>', '<wikicat_American_black_comedy_films>', '<wikicat_Regency_Enterprises_films>', '<wikicat_American_films>', '<wikicat_Satirical_films>', '<wikicat_Films_about_television>', '<wikicat_American_crime_drama_films>']","['1990s crime films', '1990s drama films', '1994 films', 'All articles to be expanded', 'American black comedy films', 'American crime drama films', 'American films', 'American independent films', 'American road movies', 'American satirical films', 'American serial killer films', 'Articles to be expanded from November 2014', 'Articles using small message boxes', 'Articles with short description', 'CS1 maint: location', 'CS1 maint: unfit url', 'English-language films', 'Film duos', 'Films about psychopaths', 'Films directed by Oliver Stone', 'Films set in Arizona', 'Films set in Illinois', 'Films set in Indiana', 'Films set in New Mexico', 'Films set in the 1990s', 'Films with live action and animation', 'Films with screenplays by Oliver Stone', 'Films with screenplays by Quentin Tarantino', 'Incest in film', 'Matricide in fiction', 'Obscenity controversies in film', 'Pages containing links to subscription-only content', 'Patricide in fiction', 'Regency Enterprises films', 'Super Bowl in fiction', 'Use mdy dates from April 2015', 'Venice Grand Special Jury Prize winners', 'Warner Bros. films', 'Webarchive template wayback links', 'Wikipedia pages semi-protected against vandalism']",NONE
actor_3484.xml,34,jones,ACTOR,[],NONE,NONE,NONE,[],[],NONE
actor_3484.xml,35,real_-_life_figures,NONE,"['-_life_figures', 'life_figures', 'figures']",NONE,NONE,NONE,[],[],NONE
actor_3484.xml,36,businessman_howard_hughes,NONE,"['howard_hughes', 'hughes']",http://en.wikipedia.org/wiki/Howard_Hughes,http://dbpedia.org/resource/Howard_Hughes,<wikicat_Hypochondriacs>,"['<wikicat_Hypochondriacs>', '<wikicat_American_people_of_Welsh_descent>', '<wikicat_Aviation_inventors>', '<wikicat_American_airline_chief_executives>', '<wikicat_American_chief_executives>', '<wikicat_American_billionaires>', '<wikicat_American_chief_executives_of_manufacturing_companies>', '<wikicat_Aviators_from_Texas>', '<wikicat_American_investors>', '<wikicat_Philanthropists>', '<wikicat_American_inventors>', '<wikicat_Aviation_pioneers>', '<wikicat_American_philanthropists>', '<wikicat_Film_producers_from_California>', '<wikicat_English-language_film_directors>', '<wikicat_Test_pilots>', '<wikicat_American_directors>', '<wikicat_American_hoteliers>', '<wikicat_Film_directors_from_Texas>', '<wikicat_American_film_directors>']","['1953 establishments in Maryland', 'All articles containing potentially dated statements', 'Articles containing potentially dated statements from 2017', 'Biomedical research foundations', 'Biotechnology organizations', 'Chevy Chase, Maryland', 'Coordinates not on Wikidata', 'Howard Hughes', 'Medical and health foundations in the United States', 'Medical and health organizations based in Maryland', 'Medical research institutes in the United States', 'Organizations established in 1953', 'Pages using deprecated image syntax', 'Webarchive template wayback links']",NONE
actor_3484.xml,37,the_amazing_howard_hughes,NONE,"['amazing_howard_hughes', 'howard_hughes', 'hughes']","http://en.wikipedia.org/wiki/The_Amazing_Howard_Hughes,http://en.wikipedia.org/wiki/Howard_Hughes","http://dbpedia.org/resource/The_Amazing_Howard_Hughes,http://dbpedia.org/resource/Howard_Hughes","<wikicat_1977_television_films>,<wikicat_Hypochondriacs>","['<wikicat_1977_television_films>', '<wordnet_movie_106613686>', '<wikicat_American_television_films>', '<wikicat_Aviation_films>', '<wikicat_1977_television_films>', '<wikicat_American_television_films>', '<wikicat_Aviation_films>', '<wordnet_abstraction_100002137>', '<wordnet_artifact_100021939>', '<wordnet_creation_103129123>', '<wordnet_event_100029378>', '<wordnet_movie_106613686>', '<wordnet_object_100002684>', '<wordnet_physical_entity_100001930>', '<wordnet_product_104007894>', '<wordnet_psychological_feature_100023100>', '<wordnet_show_106619065>', '<wordnet_social_event_107288639>', '<wordnet_whole_100003553>', '<yagoPermanentlyLocatedEntity>', '<wikicat_Hypochondriacs>', '<wikicat_American_people_of_Welsh_descent>', '<wikicat_Aviation_inventors>', '<wikicat_American_airline_chief_executives>', '<wikicat_American_chief_executives>', '<wikicat_American_billionaires>', '<wikicat_American_chief_executives_of_manufacturing_companies>', '<wikicat_Aviators_from_Texas>', '<wikicat_American_investors>', '<wikicat_Philanthropists>', '<wikicat_American_inventors>', '<wikicat_Aviation_pioneers>', '<wikicat_American_philanthropists>', '<wikicat_Film_producers_from_California>', '<wikicat_English-language_film_directors>', '<wikicat_Test_pilots>', '<wikicat_American_directors>', '<wikicat_American_hoteliers>', '<wikicat_Film_directors_from_Texas>', '<wikicat_American_film_directors>']","['1970s biographical films', '1977 television films', 'American aviation films', 'American biographical films', 'American films', 'American television films', 'Biographical television films', 'Cultural depictions of Howard Hughes', 'Cultural depictions of Katharine Hepburn', 'Films directed by William Graham (director)', 'Films scored by Laurence Rosenthal', 'Films set in the 1920s', 'Films set in the 1930s', 'Films set in the 1940s', 'Films set in the 1950s', 'Films set in the 1960s', 'Films set in the 1970s', 'Films with screenplays by John Gay (screenwriter)', 'Pages using infobox television with editor parameter']",NONE
actor_3484.xml,38,radical_republican_congressman_thaddeus_stevens,NONE,"['republican_congressman_thaddeus_stevens', 'congressman_thaddeus_stevens', 'thaddeus_stevens', 'stevens']",http://en.wikipedia.org/wiki/Thaddeus_Stevens,http://dbpedia.org/resource/Thaddeus_Stevens,<wikicat_People_of_American_Reconstruction>,"['<wikicat_People_of_American_Reconstruction>', '<wikicat_American_abolitionists>', '<wikicat_Underground_Railroad_people>', '<wikicat_Pennsylvania_lawyers>', '<wikicat_American_lawyers>', '<wikicat_People_from_Vermont>', '<wikicat_American_politicians_with_physical_disabilities>', '<wikicat_People_from_Lancaster,_Pennsylvania>', '<wikicat_Whig_Party_(United_States)_politicians>', '<wikicat_People_of_the_American_Civil_War>', '<wikicat_People_from_Danville,_Vermont>', '<wikicat_Dartmouth_College_alumni>', '<wikicat_People_of_Pennsylvania_in_the_American_Civil_War>', '<wikicat_Union_political_leaders>', '<wikicat_American_politicians>', '<wikicat_American_people>', '<wikicat_Pennsylvania_Know_Nothings>', '<wordnet_congressman_109955781>', '<wikicat_American_abolitionists>', '<wikicat_American_lawyers>']","['1792 births', '1868 deaths', '19th-century American politicians', 'American abolitionists', 'American politicians with physical disabilities', 'Anti-Masonic Party politicians from Pennsylvania', 'Baptists from the United States', 'CS1 maint: BOT: original-url status unknown', 'CS1 maint: extra punctuation', 'Commons category link is on Wikidata', 'Dartmouth College alumni', 'Featured articles', 'Impeachment of Andrew Johnson', 'Members of the Pennsylvania House of Representatives', 'Members of the United States House of Representatives from Pennsylvania', 'Pages containing links to subscription-only content', 'Pennsylvania Federalists', 'Pennsylvania Know Nothings', 'Pennsylvania Republicans', 'Pennsylvania Whigs', 'Pennsylvania city council members', 'Pennsylvania lawyers', 'People from Danville, Vermont', 'People of Pennsylvania in the American Civil War', 'People of the Reconstruction Era', 'Politicians from Lancaster, Pennsylvania', 'Radical Republicans', 'Republican Party members of the United States House of Representatives', 'Underground Railroad people', 'Union political leaders', 'Whig Party members of the United States House of Representatives', 'Wikipedia articles with GND identifiers', 'Wikipedia articles with ISNI identifiers', 'Wikipedia articles with LCCN identifiers', 'Wikipedia articles with NLI identifiers', 'Wikipedia articles with NTA identifiers', 'Wikipedia articles with SNAC-ID identifiers', 'Wikipedia articles with SUDOC identifiers', 'Wikipedia articles with USCongress identifiers', 'Wikipedia articles with VIAF identifiers', 'Wikipedia articles with WorldCat-VIAF identifiers']",NONE
actor_3484.xml,39,lincoln,NONE,[],NONE,NONE,NONE,[],[],NONE
actor_3484.xml,40,executed_murderer_gary_gilmore,NONE,"['murderer_gary_gilmore', 'gary_gilmore', 'gilmore']",http://en.wikipedia.org/wiki/Gary_Gilmore,http://dbpedia.org/resource/Gary_Gilmore,<wikicat_American_people_convicted_of_murder>,"['<wikicat_American_people_convicted_of_murder>', '<wikicat_Executed_people_from_Texas>', '<wikicat_People_convicted_of_murder_by_Utah>', '<wikicat_Murderers>', '<wikicat_People_with_antisocial_personality_disorder>', '<wikicat_People_from_Portland,_Oregon>', '<wordnet_criminal_109977660>', '<wikicat_American_people_convicted_of_assault>', '<wikicat_American_people_executed_by_firing_squad>', '<wikicat_People_executed_for_murder>', '<wikicat_People_from_Texas>', '<wikicat_People_executed_by_firing_squad>', '<wikicat_People_executed_by_the_United_States_by_firing_squad>', '<wikicat_People_from_Waco,_Texas>', '<wikicat_American_criminals>', '<wikicat_American_people_convicted_of_robbery>', '<wikicat_American_criminals>', '<wikicat_American_people_convicted_of_assault>', '<wikicat_American_people_convicted_of_murder>', '<wikicat_American_people_convicted_of_robbery>']","['1940 births', '1976 murders in the United States', '1977 deaths', '20th-century executions by Utah', '20th-century executions of American people', 'All articles with unsourced statements', 'American Roman Catholics', 'American male criminals', 'American people convicted of assault', 'American people convicted of murder', 'American people convicted of robbery', 'Articles with hCards', 'Articles with short description', 'Articles with trivia sections from December 2016', 'Articles with unsourced statements from February 2016', 'Deaths by firearm in Utah', 'Executed American people', 'Executed people from Texas', 'Organ transplant donors', 'People convicted of murder by Utah', 'People executed by Utah by firing squad', 'People from McCamey, Texas', 'People from Waco, Texas', 'People with antisocial personality disorder', 'Wikipedia articles with BNF identifiers', 'Wikipedia articles with GND identifiers', 'Wikipedia articles with ISNI identifiers', 'Wikipedia articles with MusicBrainz identifiers', 'Wikipedia articles with NKC identifiers', 'Wikipedia articles with SNAC-ID identifiers', 'Wikipedia articles with SUDOC identifiers', 'Wikipedia articles with VIAF identifiers', 'Wikipedia articles with WorldCat-VIAF identifiers']",NONE
